province,females,males
Newfoundland & Labrador,10047,7812
Prince Edward Island,2118,1521
Nova Scotia,21108,16770
New Brunswick,13884,10938
Quebec,145575,111897
Ontario,186813,152238
Manitoba,20238,17349
Saskatchewan,18042,14856
Alberta,37851,30423
British Columbia,35664,30510
