province,females,males
Newfoundland & Labrador,2.016,1.69
Prince Edward Island,0.410 ,0.401
Nova Scotia,4.426,4.01
New Brunswick,2.802,2.252
Quebec,29.071,26.425
Ontario,38.282,44.04
Manitoba,4.243,3.85
Saskatchewan,3.714,1.929
Alberta,7.708,9.204
British Columbia,7.472,15.383
