ref_date,geo,reg_status,prog_level,program_class,sex,value
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Other instructional programs,Males,378
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Other instructional programs,Females,414
1992/1993,Canada,"Total, registration status",Undergraduate level,"Total, instructional programs",Both sexes,677157
1992/1993,Canada,"Total, registration status",Undergraduate level,"Total, instructional programs",Males,295092
1992/1993,Canada,"Total, registration status",Undergraduate level,"Total, instructional programs",Females,382068
1992/1993,Canada,"Total, registration status",Undergraduate level,Education,Both sexes,66924
1992/1993,Canada,"Total, registration status",Undergraduate level,Education,Males,16959
1992/1993,Canada,"Total, registration status",Undergraduate level,Education,Females,49965
1992/1993,Canada,"Total, registration status",Undergraduate level,Visual and performing arts and communications technologies,Both sexes,22419
1992/1993,Canada,"Total, registration status",Undergraduate level,Visual and performing arts and communications technologies,Males,7902
1992/1993,Canada,"Total, registration status",Undergraduate level,Visual and performing arts and communications technologies,Females,14520
1992/1993,Canada,"Total, registration status",Undergraduate level,Humanities,Both sexes,130920
1992/1993,Canada,"Total, registration status",Undergraduate level,Humanities,Males,49587
1992/1993,Canada,"Total, registration status",Undergraduate level,Humanities,Females,81333
1992/1993,Canada,"Total, registration status",Undergraduate level,Social and behavioural sciences and law,Both sexes,129963
1992/1993,Canada,"Total, registration status",Undergraduate level,Social and behavioural sciences and law,Males,50730
1992/1993,Canada,"Total, registration status",Undergraduate level,Social and behavioural sciences and law,Females,79233
1992/1993,Canada,"Total, registration status",Undergraduate level,"Business, management and public administration",Both sexes,111591
1992/1993,Canada,"Total, registration status",Undergraduate level,"Business, management and public administration",Males,50943
1992/1993,Canada,"Total, registration status",Undergraduate level,"Business, management and public administration",Females,60651
1992/1993,Canada,"Total, registration status",Undergraduate level,Physical and life sciences and technologies,Both sexes,60459
1992/1993,Canada,"Total, registration status",Undergraduate level,Physical and life sciences and technologies,Males,29982
1992/1993,Canada,"Total, registration status",Undergraduate level,Physical and life sciences and technologies,Females,30474
1992/1993,Canada,"Total, registration status",Undergraduate level,"Mathematics, computer and information sciences",Both sexes,26868
1992/1993,Canada,"Total, registration status",Undergraduate level,"Mathematics, computer and information sciences",Males,18708
1992/1993,Canada,"Total, registration status",Undergraduate level,"Mathematics, computer and information sciences",Females,8157
1992/1993,Canada,"Total, registration status",Undergraduate level,"Architecture, engineering and related technologies",Both sexes,51462
1992/1993,Canada,"Total, registration status",Undergraduate level,"Architecture, engineering and related technologies",Males,41775
1992/1993,Canada,"Total, registration status",Undergraduate level,"Architecture, engineering and related technologies",Females,9687
1992/1993,Canada,"Total, registration status",Undergraduate level,"Agriculture, natural resources and conservation",Both sexes,8247
1992/1993,Canada,"Total, registration status",Undergraduate level,"Agriculture, natural resources and conservation",Males,4539
1992/1993,Canada,"Total, registration status",Undergraduate level,"Agriculture, natural resources and conservation",Females,3705
1992/1993,Canada,"Total, registration status",Undergraduate level,"Health, parks, recreation and fitness",Both sexes,55305
1992/1993,Canada,"Total, registration status",Undergraduate level,"Health, parks, recreation and fitness",Males,18957
1992/1993,Canada,"Total, registration status",Undergraduate level,"Health, parks, recreation and fitness",Females,36348
1992/1993,Canada,"Total, registration status",Undergraduate level,"Personal, protective and transportation services",Both sexes,162
1992/1993,Canada,"Total, registration status",Undergraduate level,"Personal, protective and transportation services",Males,138
1992/1993,Canada,"Total, registration status",Undergraduate level,"Personal, protective and transportation services",Females,24
1992/1993,Canada,"Total, registration status",Undergraduate level,Other instructional programs,Both sexes,12837
1992/1993,Canada,"Total, registration status",Undergraduate level,Other instructional programs,Males,4863
1992/1993,Canada,"Total, registration status",Undergraduate level,Other instructional programs,Females,7971
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Total, instructional programs",Both sexes,601764
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Total, instructional programs",Males,267477
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Total, instructional programs",Females,334284
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Education,Both sexes,54201
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Education,Males,13023
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Education,Females,41178
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Both sexes,20577
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Males,7476
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Females,13098
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Humanities,Both sexes,125319
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Humanities,Males,47958
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Humanities,Females,77361
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Both sexes,122796
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Males,48345
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Females,74451
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Business, management and public administration",Both sexes,81231
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Business, management and public administration",Males,39639
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Business, management and public administration",Females,41592
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Both sexes,59724
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Males,29616
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Females,30108
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Both sexes,23268
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Males,16584
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Females,6687
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Both sexes,48204
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Males,39213
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Females,8994
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Both sexes,7476
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Males,4053
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Females,3420
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Both sexes,49845
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Males,17961
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Females,31884
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Both sexes,162
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Males,138
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Females,24
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Other instructional programs,Both sexes,8961
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Other instructional programs,Males,3474
1992/1993,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Other instructional programs,Females,5487
