ref_date,geo,reg_status,prog_level,program_class,sex,value
1992/1993,Canada,Part-time student,Master's degree,Other instructional programs,Females,156
1992/1993,Canada,Part-time student,Doctorate,"Total, instructional programs",Both sexes,4203
1992/1993,Canada,Part-time student,Doctorate,"Total, instructional programs",Males,2412
1992/1993,Canada,Part-time student,Doctorate,"Total, instructional programs",Females,1788
1992/1993,Canada,Part-time student,Doctorate,Education,Both sexes,834
1992/1993,Canada,Part-time student,Doctorate,Education,Males,351
1992/1993,Canada,Part-time student,Doctorate,Education,Females,486
1992/1993,Canada,Part-time student,Doctorate,Visual and performing arts and communications technologies,Both sexes,51
1992/1993,Canada,Part-time student,Doctorate,Visual and performing arts and communications technologies,Males,30
1992/1993,Canada,Part-time student,Doctorate,Visual and performing arts and communications technologies,Females,21
1992/1993,Canada,Part-time student,Doctorate,Humanities,Both sexes,891
1992/1993,Canada,Part-time student,Doctorate,Humanities,Males,510
1992/1993,Canada,Part-time student,Doctorate,Humanities,Females,378
1992/1993,Canada,Part-time student,Doctorate,Social and behavioural sciences and law,Both sexes,1035
1992/1993,Canada,Part-time student,Doctorate,Social and behavioural sciences and law,Males,510
1992/1993,Canada,Part-time student,Doctorate,Social and behavioural sciences and law,Females,528
1992/1993,Canada,Part-time student,Doctorate,"Business, management and public administration",Both sexes,111
1992/1993,Canada,Part-time student,Doctorate,"Business, management and public administration",Males,69
1992/1993,Canada,Part-time student,Doctorate,"Business, management and public administration",Females,42
1992/1993,Canada,Part-time student,Doctorate,Physical and life sciences and technologies,Both sexes,534
1992/1993,Canada,Part-time student,Doctorate,Physical and life sciences and technologies,Males,375
1992/1993,Canada,Part-time student,Doctorate,Physical and life sciences and technologies,Females,159
1992/1993,Canada,Part-time student,Doctorate,"Mathematics, computer and information sciences",Both sexes,159
1992/1993,Canada,Part-time student,Doctorate,"Mathematics, computer and information sciences",Males,129
1992/1993,Canada,Part-time student,Doctorate,"Mathematics, computer and information sciences",Females,33
1992/1993,Canada,Part-time student,Doctorate,"Architecture, engineering and related technologies",Both sexes,309
1992/1993,Canada,Part-time student,Doctorate,"Architecture, engineering and related technologies",Males,282
1992/1993,Canada,Part-time student,Doctorate,"Architecture, engineering and related technologies",Females,27
1992/1993,Canada,Part-time student,Doctorate,"Agriculture, natural resources and conservation",Both sexes,99
1992/1993,Canada,Part-time student,Doctorate,"Agriculture, natural resources and conservation",Males,72
1992/1993,Canada,Part-time student,Doctorate,"Agriculture, natural resources and conservation",Females,30
1992/1993,Canada,Part-time student,Doctorate,"Health, parks, recreation and fitness",Both sexes,126
1992/1993,Canada,Part-time student,Doctorate,"Health, parks, recreation and fitness",Males,66
1992/1993,Canada,Part-time student,Doctorate,"Health, parks, recreation and fitness",Females,60
1992/1993,Canada,Part-time student,Doctorate,"Personal, protective and transportation services",Both sexes,6
1992/1993,Canada,Part-time student,Doctorate,"Personal, protective and transportation services",Males,6
1992/1993,Canada,Part-time student,Doctorate,"Personal, protective and transportation services",Females,0
1992/1993,Canada,Part-time student,Doctorate,Other instructional programs,Both sexes,42
1992/1993,Canada,Part-time student,Doctorate,Other instructional programs,Males,12
1992/1993,Canada,Part-time student,Doctorate,Other instructional programs,Females,30
1992/1993,Canada,Part-time student,Other graduate levels,"Total, instructional programs",Both sexes,5712
1992/1993,Canada,Part-time student,Other graduate levels,"Total, instructional programs",Males,2496
1992/1993,Canada,Part-time student,Other graduate levels,"Total, instructional programs",Females,3216
1992/1993,Canada,Part-time student,Other graduate levels,Education,Both sexes,1350
1992/1993,Canada,Part-time student,Other graduate levels,Education,Males,333
1992/1993,Canada,Part-time student,Other graduate levels,Education,Females,1017
1992/1993,Canada,Part-time student,Other graduate levels,Visual and performing arts and communications technologies,Both sexes,12
1992/1993,Canada,Part-time student,Other graduate levels,Visual and performing arts and communications technologies,Males,3
1992/1993,Canada,Part-time student,Other graduate levels,Visual and performing arts and communications technologies,Females,9
1992/1993,Canada,Part-time student,Other graduate levels,Humanities,Both sexes,585
1992/1993,Canada,Part-time student,Other graduate levels,Humanities,Males,183
1992/1993,Canada,Part-time student,Other graduate levels,Humanities,Females,405
1992/1993,Canada,Part-time student,Other graduate levels,Social and behavioural sciences and law,Both sexes,297
1992/1993,Canada,Part-time student,Other graduate levels,Social and behavioural sciences and law,Males,111
1992/1993,Canada,Part-time student,Other graduate levels,Social and behavioural sciences and law,Females,183
1992/1993,Canada,Part-time student,Other graduate levels,"Business, management and public administration",Both sexes,2394
1992/1993,Canada,Part-time student,Other graduate levels,"Business, management and public administration",Males,1341
1992/1993,Canada,Part-time student,Other graduate levels,"Business, management and public administration",Females,1053
1992/1993,Canada,Part-time student,Other graduate levels,Physical and life sciences and technologies,Both sexes,201
1992/1993,Canada,Part-time student,Other graduate levels,Physical and life sciences and technologies,Males,135
1992/1993,Canada,Part-time student,Other graduate levels,Physical and life sciences and technologies,Females,69
1992/1993,Canada,Part-time student,Other graduate levels,"Mathematics, computer and information sciences",Both sexes,111
1992/1993,Canada,Part-time student,Other graduate levels,"Mathematics, computer and information sciences",Males,48
1992/1993,Canada,Part-time student,Other graduate levels,"Mathematics, computer and information sciences",Females,63
1992/1993,Canada,Part-time student,Other graduate levels,"Architecture, engineering and related technologies",Both sexes,201
1992/1993,Canada,Part-time student,Other graduate levels,"Architecture, engineering and related technologies",Males,156
1992/1993,Canada,Part-time student,Other graduate levels,"Architecture, engineering and related technologies",Females,48
1992/1993,Canada,Part-time student,Other graduate levels,"Agriculture, natural resources and conservation",Both sexes,63
1992/1993,Canada,Part-time student,Other graduate levels,"Agriculture, natural resources and conservation",Males,33
1992/1993,Canada,Part-time student,Other graduate levels,"Agriculture, natural resources and conservation",Females,30
1992/1993,Canada,Part-time student,Other graduate levels,"Health, parks, recreation and fitness",Both sexes,387
1992/1993,Canada,Part-time student,Other graduate levels,"Health, parks, recreation and fitness",Males,132
1992/1993,Canada,Part-time student,Other graduate levels,"Health, parks, recreation and fitness",Females,255
1992/1993,Canada,Part-time student,Other graduate levels,Other instructional programs,Both sexes,108
1992/1993,Canada,Part-time student,Other graduate levels,Other instructional programs,Males,27
1992/1993,Canada,Part-time student,Other graduate levels,Other instructional programs,Females,84
1992/1993,Canada,Part-time student,Other program levels,"Total, instructional programs",Both sexes,79125
1992/1993,Canada,Part-time student,Other program levels,"Total, instructional programs",Males,30492
1992/1993,Canada,Part-time student,Other program levels,"Total, instructional programs",Females,48633
1992/1993,Canada,Part-time student,Other program levels,Education,Both sexes,3441
1992/1993,Canada,Part-time student,Other program levels,Education,Males,771
1992/1993,Canada,Part-time student,Other program levels,Education,Females,2673
1992/1993,Canada,Part-time student,Other program levels,Visual and performing arts and communications technologies,Both sexes,687
1992/1993,Canada,Part-time student,Other program levels,Visual and performing arts and communications technologies,Males,249
1992/1993,Canada,Part-time student,Other program levels,Visual and performing arts and communications technologies,Females,441
1992/1993,Canada,Part-time student,Other program levels,Humanities,Both sexes,4002
1992/1993,Canada,Part-time student,Other program levels,Humanities,Males,1392
1992/1993,Canada,Part-time student,Other program levels,Humanities,Females,2610
1992/1993,Canada,Part-time student,Other program levels,Social and behavioural sciences and law,Both sexes,2094
1992/1993,Canada,Part-time student,Other program levels,Social and behavioural sciences and law,Males,615
1992/1993,Canada,Part-time student,Other program levels,Social and behavioural sciences and law,Females,1482
1992/1993,Canada,Part-time student,Other program levels,"Business, management and public administration",Both sexes,5589
1992/1993,Canada,Part-time student,Other program levels,"Business, management and public administration",Males,2448
1992/1993,Canada,Part-time student,Other program levels,"Business, management and public administration",Females,3141
1992/1993,Canada,Part-time student,Other program levels,Physical and life sciences and technologies,Both sexes,861
1992/1993,Canada,Part-time student,Other program levels,Physical and life sciences and technologies,Males,474
1992/1993,Canada,Part-time student,Other program levels,Physical and life sciences and technologies,Females,387
1992/1993,Canada,Part-time student,Other program levels,"Mathematics, computer and information sciences",Both sexes,396
1992/1993,Canada,Part-time student,Other program levels,"Mathematics, computer and information sciences",Males,294
1992/1993,Canada,Part-time student,Other program levels,"Mathematics, computer and information sciences",Females,102
1992/1993,Canada,Part-time student,Other program levels,"Architecture, engineering and related technologies",Both sexes,825
1992/1993,Canada,Part-time student,Other program levels,"Architecture, engineering and related technologies",Males,612
1992/1993,Canada,Part-time student,Other program levels,"Architecture, engineering and related technologies",Females,210
1992/1993,Canada,Part-time student,Other program levels,"Agriculture, natural resources and conservation",Both sexes,1497
1992/1993,Canada,Part-time student,Other program levels,"Agriculture, natural resources and conservation",Males,603
1992/1993,Canada,Part-time student,Other program levels,"Agriculture, natural resources and conservation",Females,891
1992/1993,Canada,Part-time student,Other program levels,"Health, parks, recreation and fitness",Both sexes,918
1992/1993,Canada,Part-time student,Other program levels,"Health, parks, recreation and fitness",Males,177
1992/1993,Canada,Part-time student,Other program levels,"Health, parks, recreation and fitness",Females,738
1992/1993,Canada,Part-time student,Other program levels,"Personal, protective and transportation services",Both sexes,12
1992/1993,Canada,Part-time student,Other program levels,"Personal, protective and transportation services",Males,9
1992/1993,Canada,Part-time student,Other program levels,"Personal, protective and transportation services",Females,3
1992/1993,Canada,Part-time student,Other program levels,Other instructional programs,Both sexes,58803
1992/1993,Canada,Part-time student,Other program levels,Other instructional programs,Males,22842
1992/1993,Canada,Part-time student,Other program levels,Other instructional programs,Females,35958
1993/1994,Canada,"Total, registration status","Total, program level","Total, instructional programs",Both sexes,874605
1993/1994,Canada,"Total, registration status","Total, program level","Total, instructional programs",Males,389646
1993/1994,Canada,"Total, registration status","Total, program level","Total, instructional programs",Females,484959
1993/1994,Canada,"Total, registration status","Total, program level",Education,Both sexes,80010
1993/1994,Canada,"Total, registration status","Total, program level",Education,Males,21363
1993/1994,Canada,"Total, registration status","Total, program level",Education,Females,58647
1993/1994,Canada,"Total, registration status","Total, program level",Visual and performing arts and communications technologies,Both sexes,25479
1993/1994,Canada,"Total, registration status","Total, program level",Visual and performing arts and communications technologies,Males,9123
1993/1994,Canada,"Total, registration status","Total, program level",Visual and performing arts and communications technologies,Females,16356
1993/1994,Canada,"Total, registration status","Total, program level",Humanities,Both sexes,143907
1993/1994,Canada,"Total, registration status","Total, program level",Humanities,Males,55566
1993/1994,Canada,"Total, registration status","Total, program level",Humanities,Females,88341
1993/1994,Canada,"Total, registration status","Total, program level",Social and behavioural sciences and law,Both sexes,148179
1993/1994,Canada,"Total, registration status","Total, program level",Social and behavioural sciences and law,Males,57840
1993/1994,Canada,"Total, registration status","Total, program level",Social and behavioural sciences and law,Females,90339
1993/1994,Canada,"Total, registration status","Total, program level","Business, management and public administration",Both sexes,130134
1993/1994,Canada,"Total, registration status","Total, program level","Business, management and public administration",Males,61635
1993/1994,Canada,"Total, registration status","Total, program level","Business, management and public administration",Females,68502
1993/1994,Canada,"Total, registration status","Total, program level",Physical and life sciences and technologies,Both sexes,77472
1993/1994,Canada,"Total, registration status","Total, program level",Physical and life sciences and technologies,Males,39819
1993/1994,Canada,"Total, registration status","Total, program level",Physical and life sciences and technologies,Females,37650
1993/1994,Canada,"Total, registration status","Total, program level","Mathematics, computer and information sciences",Both sexes,32607
1993/1994,Canada,"Total, registration status","Total, program level","Mathematics, computer and information sciences",Males,22698
1993/1994,Canada,"Total, registration status","Total, program level","Mathematics, computer and information sciences",Females,9912
1993/1994,Canada,"Total, registration status","Total, program level","Architecture, engineering and related technologies",Both sexes,65364
1993/1994,Canada,"Total, registration status","Total, program level","Architecture, engineering and related technologies",Males,52611
1993/1994,Canada,"Total, registration status","Total, program level","Architecture, engineering and related technologies",Females,12753
1993/1994,Canada,"Total, registration status","Total, program level","Agriculture, natural resources and conservation",Both sexes,14301
1993/1994,Canada,"Total, registration status","Total, program level","Agriculture, natural resources and conservation",Males,7842
1993/1994,Canada,"Total, registration status","Total, program level","Agriculture, natural resources and conservation",Females,6459
1993/1994,Canada,"Total, registration status","Total, program level","Health, parks, recreation and fitness",Both sexes,71730
1993/1994,Canada,"Total, registration status","Total, program level","Health, parks, recreation and fitness",Males,26172
1993/1994,Canada,"Total, registration status","Total, program level","Health, parks, recreation and fitness",Females,45558
1993/1994,Canada,"Total, registration status","Total, program level","Personal, protective and transportation services",Both sexes,258
1993/1994,Canada,"Total, registration status","Total, program level","Personal, protective and transportation services",Males,216
1993/1994,Canada,"Total, registration status","Total, program level","Personal, protective and transportation services",Females,45
1993/1994,Canada,"Total, registration status","Total, program level",Other instructional programs,Both sexes,85167
1993/1994,Canada,"Total, registration status","Total, program level",Other instructional programs,Males,34770
1993/1994,Canada,"Total, registration status","Total, program level",Other instructional programs,Females,50397
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Total, instructional programs",Both sexes,3015
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Total, instructional programs",Males,1479
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Total, instructional programs",Females,1533
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Education,Both sexes,69
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Education,Males,18
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Education,Females,54
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Humanities,Both sexes,204
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Humanities,Males,60
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Humanities,Females,144
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Both sexes,222
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Males,114
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Females,105
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Business, management and public administration",Both sexes,888
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Business, management and public administration",Males,372
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Business, management and public administration",Females,516
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Both sexes,597
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Males,465
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Females,135
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Both sexes,48
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Males,3
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Females,48
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Other instructional programs,Both sexes,981
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Other instructional programs,Males,447
1993/1994,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Other instructional programs,Females,534
1993/1994,Canada,"Total, registration status",Undergraduate level,"Total, instructional programs",Both sexes,668535
1993/1994,Canada,"Total, registration status",Undergraduate level,"Total, instructional programs",Males,290448
1993/1994,Canada,"Total, registration status",Undergraduate level,"Total, instructional programs",Females,378087
1993/1994,Canada,"Total, registration status",Undergraduate level,Education,Both sexes,61779
1993/1994,Canada,"Total, registration status",Undergraduate level,Education,Males,15912
1993/1994,Canada,"Total, registration status",Undergraduate level,Education,Females,45867
1993/1994,Canada,"Total, registration status",Undergraduate level,Visual and performing arts and communications technologies,Both sexes,22683
1993/1994,Canada,"Total, registration status",Undergraduate level,Visual and performing arts and communications technologies,Males,7977
1993/1994,Canada,"Total, registration status",Undergraduate level,Visual and performing arts and communications technologies,Females,14709
1993/1994,Canada,"Total, registration status",Undergraduate level,Humanities,Both sexes,126387
1993/1994,Canada,"Total, registration status",Undergraduate level,Humanities,Males,47691
1993/1994,Canada,"Total, registration status",Undergraduate level,Humanities,Females,78696
1993/1994,Canada,"Total, registration status",Undergraduate level,Social and behavioural sciences and law,Both sexes,130428
1993/1994,Canada,"Total, registration status",Undergraduate level,Social and behavioural sciences and law,Males,49896
1993/1994,Canada,"Total, registration status",Undergraduate level,Social and behavioural sciences and law,Females,80532
1993/1994,Canada,"Total, registration status",Undergraduate level,"Business, management and public administration",Both sexes,106380
1993/1994,Canada,"Total, registration status",Undergraduate level,"Business, management and public administration",Males,48555
1993/1994,Canada,"Total, registration status",Undergraduate level,"Business, management and public administration",Females,57825
1993/1994,Canada,"Total, registration status",Undergraduate level,Physical and life sciences and technologies,Both sexes,63972
1993/1994,Canada,"Total, registration status",Undergraduate level,Physical and life sciences and technologies,Males,31236
1993/1994,Canada,"Total, registration status",Undergraduate level,Physical and life sciences and technologies,Females,32739
1993/1994,Canada,"Total, registration status",Undergraduate level,"Mathematics, computer and information sciences",Both sexes,27309
1993/1994,Canada,"Total, registration status",Undergraduate level,"Mathematics, computer and information sciences",Males,19173
1993/1994,Canada,"Total, registration status",Undergraduate level,"Mathematics, computer and information sciences",Females,8133
1993/1994,Canada,"Total, registration status",Undergraduate level,"Architecture, engineering and related technologies",Both sexes,51654
1993/1994,Canada,"Total, registration status",Undergraduate level,"Architecture, engineering and related technologies",Males,41565
1993/1994,Canada,"Total, registration status",Undergraduate level,"Architecture, engineering and related technologies",Females,10089
1993/1994,Canada,"Total, registration status",Undergraduate level,"Agriculture, natural resources and conservation",Both sexes,8952
1993/1994,Canada,"Total, registration status",Undergraduate level,"Agriculture, natural resources and conservation",Males,4707
1993/1994,Canada,"Total, registration status",Undergraduate level,"Agriculture, natural resources and conservation",Females,4245
1993/1994,Canada,"Total, registration status",Undergraduate level,"Health, parks, recreation and fitness",Both sexes,56319
1993/1994,Canada,"Total, registration status",Undergraduate level,"Health, parks, recreation and fitness",Males,18831
1993/1994,Canada,"Total, registration status",Undergraduate level,"Health, parks, recreation and fitness",Females,37488
1993/1994,Canada,"Total, registration status",Undergraduate level,"Personal, protective and transportation services",Both sexes,147
1993/1994,Canada,"Total, registration status",Undergraduate level,"Personal, protective and transportation services",Males,117
1993/1994,Canada,"Total, registration status",Undergraduate level,"Personal, protective and transportation services",Females,30
1993/1994,Canada,"Total, registration status",Undergraduate level,Other instructional programs,Both sexes,12525
1993/1994,Canada,"Total, registration status",Undergraduate level,Other instructional programs,Males,4788
1993/1994,Canada,"Total, registration status",Undergraduate level,Other instructional programs,Females,7734
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Total, instructional programs",Both sexes,596274
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Total, instructional programs",Males,264084
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Total, instructional programs",Females,332190
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Education,Both sexes,48882
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Education,Males,11934
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Education,Females,36948
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Both sexes,20817
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Males,7560
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Females,13257
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Humanities,Both sexes,120927
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Humanities,Males,46038
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Humanities,Females,74889
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Both sexes,123309
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Males,47607
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Females,75702
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Business, management and public administration",Both sexes,78618
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Business, management and public administration",Males,38217
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Business, management and public administration",Females,40398
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Both sexes,63162
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Males,30777
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Females,32385
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Both sexes,23907
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Males,17076
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Females,6831
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Both sexes,48471
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Males,39078
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Females,9393
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Both sexes,8181
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Males,4224
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Females,3957
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Both sexes,51036
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Males,17925
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Females,33111
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Both sexes,147
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Males,117
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Females,30
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Other instructional programs,Both sexes,8817
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Other instructional programs,Males,3525
1993/1994,Canada,"Total, registration status",Bachelor's and other undergraduate degree,Other instructional programs,Females,5289
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Total, instructional programs",Both sexes,72261
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Total, instructional programs",Males,26364
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Total, instructional programs",Females,45897
1993/1994,Canada,"Total, registration status",Other undergraduate level,Education,Both sexes,12894
1993/1994,Canada,"Total, registration status",Other undergraduate level,Education,Males,3978
1993/1994,Canada,"Total, registration status",Other undergraduate level,Education,Females,8919
1993/1994,Canada,"Total, registration status",Other undergraduate level,Visual and performing arts and communications technologies,Both sexes,1863
1993/1994,Canada,"Total, registration status",Other undergraduate level,Visual and performing arts and communications technologies,Males,414
1993/1994,Canada,"Total, registration status",Other undergraduate level,Visual and performing arts and communications technologies,Females,1452
1993/1994,Canada,"Total, registration status",Other undergraduate level,Humanities,Both sexes,5460
1993/1994,Canada,"Total, registration status",Other undergraduate level,Humanities,Males,1653
1993/1994,Canada,"Total, registration status",Other undergraduate level,Humanities,Females,3807
1993/1994,Canada,"Total, registration status",Other undergraduate level,Social and behavioural sciences and law,Both sexes,7116
1993/1994,Canada,"Total, registration status",Other undergraduate level,Social and behavioural sciences and law,Males,2289
1993/1994,Canada,"Total, registration status",Other undergraduate level,Social and behavioural sciences and law,Females,4827
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Business, management and public administration",Both sexes,27762
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Business, management and public administration",Males,10338
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Business, management and public administration",Females,17427
1993/1994,Canada,"Total, registration status",Other undergraduate level,Physical and life sciences and technologies,Both sexes,810
1993/1994,Canada,"Total, registration status",Other undergraduate level,Physical and life sciences and technologies,Males,456
1993/1994,Canada,"Total, registration status",Other undergraduate level,Physical and life sciences and technologies,Females,357
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Mathematics, computer and information sciences",Both sexes,3399
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Mathematics, computer and information sciences",Males,2094
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Mathematics, computer and information sciences",Females,1305
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Architecture, engineering and related technologies",Both sexes,3183
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Architecture, engineering and related technologies",Males,2487
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Architecture, engineering and related technologies",Females,696
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Agriculture, natural resources and conservation",Both sexes,771
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Agriculture, natural resources and conservation",Males,483
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Agriculture, natural resources and conservation",Females,288
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Health, parks, recreation and fitness",Both sexes,5283
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Health, parks, recreation and fitness",Males,906
1993/1994,Canada,"Total, registration status",Other undergraduate level,"Health, parks, recreation and fitness",Females,4377
1993/1994,Canada,"Total, registration status",Other undergraduate level,Other instructional programs,Both sexes,3708
1993/1994,Canada,"Total, registration status",Other undergraduate level,Other instructional programs,Males,1263
1993/1994,Canada,"Total, registration status",Other undergraduate level,Other instructional programs,Females,2445
1993/1994,Canada,"Total, registration status",Graduate level,"Total, instructional programs",Both sexes,112047
1993/1994,Canada,"Total, registration status",Graduate level,"Total, instructional programs",Males,60054
1993/1994,Canada,"Total, registration status",Graduate level,"Total, instructional programs",Females,51993
1993/1994,Canada,"Total, registration status",Graduate level,Education,Both sexes,16647
1993/1994,Canada,"Total, registration status",Graduate level,Education,Males,5073
1993/1994,Canada,"Total, registration status",Graduate level,Education,Females,11574
1993/1994,Canada,"Total, registration status",Graduate level,Visual and performing arts and communications technologies,Both sexes,2097
1993/1994,Canada,"Total, registration status",Graduate level,Visual and performing arts and communications technologies,Males,846
1993/1994,Canada,"Total, registration status",Graduate level,Visual and performing arts and communications technologies,Females,1251
1993/1994,Canada,"Total, registration status",Graduate level,Humanities,Both sexes,12516
1993/1994,Canada,"Total, registration status",Graduate level,Humanities,Males,6060
1993/1994,Canada,"Total, registration status",Graduate level,Humanities,Females,6459
1993/1994,Canada,"Total, registration status",Graduate level,Social and behavioural sciences and law,Both sexes,15012
1993/1994,Canada,"Total, registration status",Graduate level,Social and behavioural sciences and law,Males,7035
1993/1994,Canada,"Total, registration status",Graduate level,Social and behavioural sciences and law,Females,7977
1993/1994,Canada,"Total, registration status",Graduate level,"Business, management and public administration",Both sexes,17721
1993/1994,Canada,"Total, registration status",Graduate level,"Business, management and public administration",Males,10308
1993/1994,Canada,"Total, registration status",Graduate level,"Business, management and public administration",Females,7413
1993/1994,Canada,"Total, registration status",Graduate level,Physical and life sciences and technologies,Both sexes,12072
1993/1994,Canada,"Total, registration status",Graduate level,Physical and life sciences and technologies,Males,7761
1993/1994,Canada,"Total, registration status",Graduate level,Physical and life sciences and technologies,Females,4311
1993/1994,Canada,"Total, registration status",Graduate level,"Mathematics, computer and information sciences",Both sexes,4752
1993/1994,Canada,"Total, registration status",Graduate level,"Mathematics, computer and information sciences",Males,3111
1993/1994,Canada,"Total, registration status",Graduate level,"Mathematics, computer and information sciences",Females,1638
1993/1994,Canada,"Total, registration status",Graduate level,"Architecture, engineering and related technologies",Both sexes,12696
